label,score,seg,pose,rate,seg_d,pose_d,archive_bytes,crf,scale,film_grain,unsharp,kernel,tune,aq_mode,elapsed
crf=34_fg=22,2.159806027807875,0.5794109939209496,0.9977551327259628,0.5826399011609623,0.005794109939209496,0.09955153048810038,875020,34,0.45,22,0.4,9,0,0,124.47095656394958
crf=30_fg=22,2.172024019900341,0.5182012074316541,0.8739608162645621,0.7798619962041246,0.005182012074316541,0.07638075083658198,1171212,30,0.45,22,0.4,9,0,0,139.20745515823364
sc=0.44_c35_fg22_u0.5,2.180766968525695,0.6204393342680609,1.0515428106001234,0.5087848236575104,0.006204393342680609,0.11057422825248069,764103,35,0.44,22,0.5,9,0,0,123.56426215171814
sc=0.47_c35_fg22_u0.5,2.181322081670221,0.5624813659039015,1.0308839308646767,0.5879567849016429,0.005624813659039015,0.10627216789150074,883005,35,0.47,22,0.5,9,0,0,130.2839481830597
ki=300_c35_fg22_u0.5_s0.48,2.1821571633331986,0.574140776336814,1.0361693936065792,0.5718469933898052,0.00574140776336814,0.10736470122470261,858811,35,0.48,22,0.5,9,0,0,141.03070545196533
qm=1_c35_fg22_u0.5_s0.48,2.1908221388355913,0.5751402280681457,1.0395248123740806,0.5761570983933649,0.0057514022806814565,0.10806118355413673,865284,35,0.48,22,0.5,9,0,0,138.6098289489746
sc=0.4_c35_fg22_u0.5,2.2029067936650155,0.6653696873690933,1.0690167735337093,0.4685203327622128,0.006653696873690933,0.11427968620964217,703633,35,0.4,22,0.5,9,0,0,111.10216450691223
tune=2_c35_fg22_u0.5_s0.48,2.209490586983917,0.5749834013016274,1.0599348315973556,0.5745723540849341,0.0057498340130162735,0.11234618472333144,862904,35,0.48,22,0.5,9,2,0,146.99954843521118
crf=29_fg=22,2.2244372693227112,0.5070224484273543,0.8784152276286399,0.838999593266717,0.005070224484273543,0.07716133121298753,1260026,29,0.45,22,0.4,9,0,0,143.9218909740448
aq=1_c35_fg22_u0.5_s0.48,2.2299276128866308,0.6062944373503948,1.024278217075048,0.5993549584611882,0.006062944373503948,0.1049145865974439,900123,35,0.48,22,0.5,9,0,1,137.81948900222778
fg=16,2.256741610430963,0.5502497521229088,1.090786733252951,0.6157051250551031,0.005502497521229088,0.11898156974406447,924678,33,0.45,16,0.4,9,0,0,134.33544254302979
fg=12,2.489570956038071,0.5416420991920556,1.3371204585321728,0.6108083983138427,0.005416420991920556,0.17878911206252876,917324,33,0.45,12,0.4,9,0,0,134.96815609931946
fg=8,2.7883722657233196,0.5327190978374953,1.6522344722337317,0.6034186956520928,0.005327190978374953,0.2729878751237478,906226,33,0.45,8,0.4,9,0,0,135.9848668575287
fg=4,2.830857702460643,0.5243267642411713,1.6997576451615493,0.6067732930579223,0.0052432676424117135,0.2889176052285135,911264,33,0.45,4,0.4,9,0,0,132.3265414237976
fg=0,2.8571213606706083,0.5318256110185757,1.810367711293017,0.5149280383590156,0.005318256110185758,0.32774312500923164,773329,33,0.45,0,0.4,9,0,0,137.36285090446472
