codec,scale,width,height,crf,preset,gop,compressed_size,rate,segnet_dist,posenet_dist,segnet_score,posenet_score,rate_score,total_score,encode_time,decode_time,upscale_time,inference_time,total_time,status
svtav1,522x392,522,392,33,4,120,150816,0.02410132,0.00527786,0.51594114,0.5278,2.2714,0.6025,3.4018,1.19,0.44,0.42,1.40,3.60,ok
svtav1,522x392,522,392,33,4,180,150026,0.02397508,0.00513000,0.45478582,0.5130,2.1326,0.5994,3.2449,1.27,0.45,0.50,1.53,3.90,ok
svtav1,522x392,522,392,33,4,200,149822,0.02394248,0.00514420,0.43930438,0.5144,2.0960,0.5986,3.2089,1.34,0.40,0.46,1.53,3.86,ok
svtav1,522x392,522,392,34,4,60,137834,0.02202672,0.00554301,0.44435835,0.5543,2.1080,0.5507,3.2129,1.07,0.48,0.42,1.42,3.52,ok
svtav1,522x392,522,392,34,4,120,140299,0.02242064,0.00556254,0.49837625,0.5563,2.2324,0.5605,3.3492,1.12,0.44,0.45,1.42,3.56,ok
svtav1,522x392,522,392,34,4,180,139965,0.02236727,0.00552363,0.46669456,0.5524,2.1603,0.5592,3.2719,1.39,0.49,0.49,1.46,3.97,ok
svtav1,522x392,522,392,34,4,200,139738,0.02233099,0.00537364,0.47921962,0.5374,2.1891,0.5583,3.2847,1.25,0.40,0.40,1.59,3.78,ok
svtav1,522x392,522,392,35,4,60,127541,0.02038184,0.00571782,0.61258221,0.5718,2.4750,0.5095,3.5564,1.21,0.53,0.50,1.56,3.97,ok
svtav1,522x392,522,392,35,4,120,128454,0.02052774,0.00560308,0.55336887,0.5603,2.3524,0.5132,3.4259,1.24,0.62,0.43,1.42,3.85,ok
svtav1,522x392,522,392,35,4,180,127837,0.02042914,0.00556508,0.59173334,0.5565,2.4326,0.5107,3.4998,1.30,0.47,0.47,1.49,3.87,ok
svtav1,522x392,522,392,35,4,200,127821,0.02042658,0.00542938,0.64762157,0.5429,2.5448,0.5107,3.5984,1.23,0.47,0.52,1.57,3.93,ok
svtav1,522x392,522,392,36,4,60,118973,0.01901262,0.00571431,0.48867488,0.5714,2.2106,0.4753,3.2573,1.08,0.52,0.48,1.59,3.80,ok
svtav1,522x392,522,392,36,4,120,118462,0.01893096,0.00587606,0.43845558,0.5876,2.0939,0.4733,3.1548,1.06,0.52,0.41,1.41,3.54,ok
svtav1,522x392,522,392,36,4,180,118917,0.01900367,0.00561971,0.53002304,0.5620,2.3022,0.4751,3.3393,1.32,0.44,0.47,1.51,3.89,ok
svtav1,522x392,522,392,36,4,200,118844,0.01899200,0.00567276,0.52757615,0.5673,2.2969,0.4748,3.3390,1.21,0.46,0.46,1.53,3.79,ok
svtav1,522x392,522,392,37,4,60,111801,0.01786649,0.00624171,0.55644184,0.6242,2.3589,0.4467,3.4297,1.03,0.44,0.44,1.51,3.56,ok
svtav1,522x392,522,392,37,4,120,110711,0.01769230,0.00603602,0.58159649,0.6036,2.4116,0.4423,3.4575,1.05,0.56,0.40,1.41,3.56,ok
svtav1,522x392,522,392,37,4,180,110524,0.01766241,0.00593297,0.44875526,0.5933,2.1184,0.4416,3.1532,1.28,0.47,0.46,1.47,3.83,ok
svtav1,522x392,522,392,37,4,200,110285,0.01762422,0.00568883,0.44397509,0.5689,2.1071,0.4406,3.1166,1.22,0.41,0.49,1.53,3.79,ok
svtav1,522x392,522,392,38,4,60,104423,0.01668744,0.00605204,0.59624696,0.6052,2.4418,0.4172,3.4642,1.03,0.46,0.42,1.50,3.57,ok
svtav1,522x392,522,392,38,4,120,103368,0.01651884,0.00616587,0.60600948,0.6166,2.4617,0.4130,3.4913,1.06,0.47,0.44,1.45,3.55,ok
svtav1,522x392,522,392,38,4,180,103171,0.01648736,0.00607666,0.52987605,0.6077,2.3019,0.4122,3.3218,1.20,0.53,0.47,1.45,3.77,ok
svtav1,522x392,522,392,38,4,200,102701,0.01641225,0.00607066,0.54856092,0.6071,2.3421,0.4103,3.3595,1.24,0.42,0.48,1.57,3.85,ok
svtav1,522x392,522,392,39,4,60,97071,0.01551254,0.00622233,0.62726969,0.6222,2.5045,0.3878,3.5146,1.06,0.45,0.41,1.48,3.52,ok
svtav1,522x392,522,392,39,4,120,96697,0.01545278,0.00654897,0.47626692,0.6549,2.1824,0.3863,3.2236,1.11,0.45,0.48,1.43,3.60,ok
svtav1,522x392,522,392,39,4,180,96497,0.01542081,0.00614772,0.49867710,0.6148,2.2331,0.3855,3.2334,1.18,0.45,0.44,1.53,3.76,ok
svtav1,522x392,522,392,39,4,200,95993,0.01534027,0.00621491,0.48968992,0.6215,2.2129,0.3835,3.2179,1.20,0.53,0.47,1.58,3.91,ok
svtav1,522x392,522,392,40,4,60,91698,0.01465390,0.00630218,0.51658988,0.6302,2.2729,0.3663,3.2694,1.15,0.46,0.47,1.47,3.73,ok
svtav1,522x392,522,392,40,4,120,90884,0.01452382,0.00630961,0.48299435,0.6310,2.1977,0.3631,3.1918,1.10,0.42,0.43,1.45,3.56,ok
svtav1,522x392,522,392,40,4,180,91092,0.01455706,0.00633794,0.53353417,0.6338,2.3098,0.3639,3.3076,1.20,0.45,0.43,1.51,3.72,ok
svtav1,522x392,522,392,40,4,200,90672,0.01448994,0.00662399,0.51990008,0.6624,2.2801,0.3622,3.3048,1.19,0.45,0.47,1.58,3.80,ok
svtav1,522x392,522,392,41,4,60,85595,0.01367861,0.00686656,0.60468280,0.6867,2.4590,0.3420,3.4877,1.08,0.49,0.48,1.56,3.78,ok
svtav1,522x392,522,392,41,4,120,85079,0.01359615,0.00634226,0.52014726,0.6342,2.2807,0.3399,3.2548,1.21,0.48,0.50,1.46,3.78,ok
svtav1,522x392,522,392,41,4,180,84676,0.01353175,0.00662277,0.40708479,0.6623,2.0176,0.3383,3.0182,1.38,0.53,0.50,1.53,4.08,ok
svtav1,522x392,522,392,41,4,200,84193,0.01345456,0.00655375,0.43935448,0.6554,2.0961,0.3364,3.0878,1.37,0.56,0.54,1.67,4.28,ok
