pair,qx,qy,model_improve,actual_improve
135,2,-1,1.2973323464393616e-06,3.1723175197839737e-07
187,0,1,1.0910560376942158e-05,1.5099067240953445e-07
358,1,0,-1.668231561779976e-07,0.0
136,1,0,-3.501772880554199e-07,0.0
350,-2,-1,4.769535735249519e-06,-2.2155290935188532e-07
347,0,1,4.6649074647575617e-07,-3.691966412588954e-07
178,1,1,2.5480403564870358e-06,-3.955792635679245e-07
376,-1,0,3.3017931855283678e-06,-6.896661943756044e-07
119,2,1,2.9381713829934597e-05,-7.613562047481537e-07
297,-3,0,4.351473762653768e-06,-1.0342919267714024e-06
472,-1,-1,1.1165557225467637e-06,-1.064953721652273e-06
205,-1,2,5.378358764573932e-05,-1.2908712960779667e-06
568,-2,-2,3.962471964769065e-06,-1.320157025475055e-06
477,1,-1,1.178688762593083e-06,-1.3825465430272743e-06
356,-1,0,1.200998667627573e-06,-1.4011893654242158e-06
129,1,1,6.995163857936859e-06,-1.6455305740237236e-06
523,1,1,4.852539859712124e-06,-1.6688136383891106e-06
283,3,-1,8.739123586565256e-06,-1.8695136532187462e-06
35,1,-1,2.1248124539852142e-06,-1.9599647202994674e-06
170,1,1,1.1313473805785179e-05,-2.1673040464520454e-06
378,5,0,3.897628630511463e-06,-2.392203896306455e-06
506,1,-1,6.376620149239898e-06,-2.6485940907150507e-06
7,0,-1,5.136644176673144e-08,-2.92281765723601e-06
455,0,-1,6.008813215885311e-07,-2.9326110961847007e-06
26,-3,-2,2.262031557620503e-06,-3.005790858878754e-06
37,0,-1,8.634542609797791e-07,-3.0629253160441294e-06
207,0,-2,4.784960765391588e-07,-3.0769151635468006e-06
171,3,2,1.5767989680171013e-05,-3.1096860766410828e-06
384,-3,1,4.570261808112264e-06,-3.3201504265889525e-06
113,0,-1,2.6100315153598785e-07,-3.3746473491191864e-06
419,0,-1,1.8240680219605565e-06,-3.967747034039348e-06
364,0,1,3.2576353987678885e-06,-4.078203346580267e-06
209,2,-2,2.268643584102392e-06,-4.157613147981465e-06
571,1,0,4.692534275818616e-06,-4.172899934928864e-06
582,-1,-2,6.0911661421414465e-06,-4.4903281377628446e-06
331,1,-1,2.6724737836048007e-06,-4.8918736865743995e-06
562,0,-1,2.88673909381032e-05,-5.039852112531662e-06
61,4,0,3.9399543311446905e-05,-5.635782144963741e-06
566,-3,1,1.3165496056899428e-05,-5.901529220864177e-06
247,3,-1,9.528346708975732e-06,-6.082016625441611e-06
143,-1,0,7.929513230919838e-06,-6.332411430776119e-06
60,-1,-1,6.544869393110275e-07,-6.350688636302948e-06
48,-1,1,8.567672921344638e-06,-6.421279977075756e-06
210,0,2,1.3871438568457961e-05,-6.4688792917877436e-06
460,2,1,2.203509211540222e-06,-6.496142304968089e-06
52,-2,2,7.4030322139151394e-06,-6.729678716510534e-06
560,0,2,1.8671838915906847e-05,-6.861097062937915e-06
230,1,-2,3.253284376114607e-06,-7.1158865466713905e-06
53,-9,-2,0.0001727822600514628,-7.144000846892595e-06
287,-7,-1,5.275581497699022e-05,-7.1658287197351456e-06
240,-11,-2,1.357722794637084e-05,-7.641992851858959e-06
17,-3,-2,1.1303407518425956e-05,-7.890797860454768e-06
393,2,-1,2.615757694002241e-06,-8.311602869071066e-06
253,0,-1,1.4317920431494713e-06,-8.741117198951542e-06
505,2,0,6.5155618358403444e-06,-9.107345249503851e-06
475,-3,0,1.0348659998271614e-05,-9.245813998859376e-06
241,-14,-1,3.5146342270309106e-05,-9.265262633562088e-06
486,-1,1,3.387132892385125e-06,-9.515933925285935e-06
229,2,-1,2.569594289525412e-05,-9.569594112690538e-06
159,0,-1,1.0438263416290283e-05,-9.885523468255997e-06
70,1,0,3.086286596953869e-06,-9.983079507946968e-06
89,-1,0,7.74879299569875e-06,-1.0007584933191538e-05
259,-2,2,5.966037861071527e-06,-1.0104668035637587e-05
93,0,1,9.082781616598368e-06,-1.0133837349712849e-05
593,0,-2,3.5771881812252104e-07,-1.0321309673599899e-05
301,4,-1,7.98021792434156e-05,-1.0726915206760168e-05
88,-3,1,4.536850610747933e-06,-1.1228694347664714e-05
165,4,-1,4.690291825681925e-05,-1.1292286217212677e-05
442,-14,2,3.3534131944179535e-05,-1.1308351531624794e-05
394,0,1,1.330090526607819e-07,-1.1916761650354601e-05
388,5,1,1.581155083840713e-05,-1.218552642967552e-05
132,1,0,4.491303116083145e-07,-1.233699731528759e-05
263,-12,-1,7.036974420771003e-05,-1.254380913451314e-05
542,-3,0,1.4774297596886754e-05,-1.2667092960327864e-05
335,0,1,1.5088007785379887e-06,-1.2818767572753131e-05
167,1,1,4.738860297948122e-06,-1.2937583960592747e-05
587,3,1,8.973838703241199e-07,-1.3533107448893134e-05
3,-3,-2,1.1695832654368132e-05,-1.3614237104775384e-05
359,4,2,1.2483738828450441e-05,-1.4223012840375304e-05
231,1,2,7.545147673226893e-05,-1.4461606042459607e-05
319,3,0,6.767397280782461e-06,-1.461055944673717e-05
22,2,-1,5.983223672956228e-06,-1.4965808077249676e-05
435,-12,-5,6.177742034196854e-05,-1.503166276961565e-05
473,2,1,3.876391565427184e-05,-1.5687852283008397e-05
182,-1,1,1.0625401046127081e-05,-1.5700759831815958e-05
250,0,-2,1.1098723916802555e-05,-1.5982092008925974e-05
514,-11,7,0.0001357394503429532,-1.604342833161354e-05
56,-4,1,5.422109097708017e-06,-1.666912794462405e-05
342,2,0,6.895861588418484e-07,-1.733747194521129e-05
443,3,0,1.5768862795084715e-05,-1.770700328052044e-05
142,-1,1,2.5423942133784294e-06,-1.8110149540007114e-05
192,0,-1,5.140434950590134e-06,-1.948629505932331e-05
160,0,-1,1.385051291435957e-06,-1.9644212443381548e-05
279,2,1,1.3685028534382582e-05,-2.0706793293356895e-05
54,2,-2,4.706569598056376e-06,-2.1271727746352553e-05
211,-4,-2,3.110209945589304e-06,-2.12998129427433e-05
284,3,2,4.28459607064724e-05,-2.1520943846553564e-05
561,-4,0,1.8649836420081556e-05,-2.2849184460937977e-05
157,1,1,1.110951416194439e-05,-2.314266748726368e-05
432,4,-2,6.473710527643561e-06,-2.4156528525054455e-05
190,0,1,1.9854633137583733e-06,-2.5709625333547592e-05
153,-4,-2,0.00010110624134540558,-2.5892280973494053e-05
115,0,1,1.5524390619248152e-05,-2.6668363716453314e-05
343,-21,2,8.861269452609122e-05,-2.701056655496359e-05
457,-1,-2,4.373247429612093e-05,-2.9373906727414578e-05
292,0,2,9.383074939250946e-06,-3.0685390811413527e-05
584,-1,-1,3.573801222955808e-06,-3.179060877300799e-05
257,2,2,1.6587124264333397e-05,-3.188967821188271e-05
18,-1,-1,1.3408163795247674e-05,-3.20549588650465e-05
551,0,1,4.333851393312216e-06,-3.279646625742316e-05
581,0,1,4.779092705575749e-06,-3.429242497077212e-05
273,-1,-2,2.6190231437794864e-05,-3.4593045711517334e-05
8,5,-1,1.2889140634797513e-05,-3.566294617485255e-05
496,1,2,3.207335248589516e-05,-3.5929144360125065e-05
146,3,-1,1.5262688975781202e-05,-3.643950913101435e-05
24,-2,1,1.411841731169261e-05,-3.6709920095745474e-05
