pair,qx,qy,model_improve,actual_improve
284,3,2,4.3277337681502104e-05,-2.1520943846553564e-05
22,2,-1,1.6705089365132153e-06,-2.1677551558241248e-05
579,2,-1,1.310792868025601e-06,-2.168757600884419e-05
24,-2,1,1.0643223504303023e-05,-2.1942545572528616e-05
319,3,0,5.3568510338664055e-06,-2.195179695263505e-05
321,2,2,1.4315301086753607e-05,-2.1962536266073585e-05
432,4,-2,5.842593964189291e-06,-2.246638177894056e-05
388,5,1,4.814737621927634e-06,-2.3263506591320038e-05
159,1,-1,1.6228295862674713e-06,-2.388434950262308e-05
70,1,0,3.3562537282705307e-07,-2.4300767108798027e-05
398,-3,-2,1.2052478268742561e-06,-2.502337156329304e-05
116,1,1,1.2041011359542608e-05,-2.5072775315493345e-05
192,0,-1,4.240311682224274e-06,-2.5501823984086514e-05
488,3,-2,6.4140185713768005e-06,-2.553313970565796e-05
330,1,-1,8.668575901538134e-06,-2.6221328880637884e-05
359,3,2,7.392372936010361e-09,-2.759133349172771e-05
561,-4,0,1.921392686199397e-05,-2.8517737518996e-05
150,-1,-1,1.66276004165411e-05,-2.95368954539299e-05
333,-26,0,0.00026855000760406256,-2.972071524709463e-05
54,2,-2,3.4382028388790786e-06,-2.992959343828261e-05
495,0,-2,1.110718585550785e-06,-3.056245623156428e-05
279,2,1,9.851413778960705e-06,-3.1291303457692266e-05
276,-5,0,6.603612564504147e-05,-3.178277984261513e-05
292,0,2,9.847746696323156e-06,-3.30123002640903e-05
43,-2,0,7.646303856745362e-08,-3.400100104045123e-05
377,-4,-1,8.768722182139754e-06,-3.4573466109577566e-05
32,-8,6,4.754099791171029e-05,-3.566962550394237e-05
496,1,2,3.319361712783575e-05,-3.5929144360125065e-05
587,4,1,1.8568152881925926e-07,-3.624109740485437e-05
491,3,-1,8.827133569866419e-06,-3.6977260606363416e-05
126,0,2,1.9979197531938553e-06,-3.896956332027912e-05
586,2,-2,2.4502951418980956e-06,-3.956114233005792e-05
424,5,0,2.924847649410367e-06,-3.9845675928518176e-05
447,2,1,1.550783053971827e-05,-4.0817714761942625e-05
545,-2,-2,2.752931322902441e-06,-4.1122082620859146e-05
273,1,-2,1.6442674677819014e-05,-4.222345887683332e-05
143,1,0,4.803994670510292e-06,-4.298146814107895e-05
453,4,-2,7.5472635217010975e-06,-4.302915476728231e-05
165,4,-1,4.2274827137589455e-05,-4.3267617002129555e-05
520,2,-1,1.8134014680981636e-06,-4.535928019322455e-05
537,-21,-1,0.00010141381062567234,-4.861393244937062e-05
183,2,-2,2.4511711671948433e-05,-4.926451947540045e-05
510,-15,0,6.617439794354141e-05,-4.975160118192434e-05
18,-1,-2,8.671922842040658e-06,-4.9883157771546394e-05
303,1,-2,1.3632234185934067e-05,-5.011455505155027e-05
530,-1,-2,1.4404533430933952e-05,-5.081412382423878e-05
361,7,-5,4.733404784929007e-05,-5.08865196024999e-05
380,2,-1,2.8085196390748024e-09,-5.231439718045294e-05
564,4,-1,2.8315822419244796e-05,-5.285929364617914e-05
181,2,-1,3.983615897595882e-06,-5.307258106768131e-05
525,-6,0,2.7697649784386158e-05,-5.311306449584663e-05
435,3,-1,5.2866991609334946e-05,-5.383498501032591e-05
418,1,1,8.463393896818161e-06,-5.394063191488385e-05
518,4,-1,1.443253131583333e-05,-5.539588164538145e-05
180,-3,-1,5.233124829828739e-05,-5.6656659580767155e-05
538,-25,2,2.814555773511529e-05,-5.678681191056967e-05
437,6,-1,2.3904693080112338e-05,-5.690316902473569e-05
79,-3,-1,1.0957708582282066e-05,-5.695130676031113e-05
254,-3,-1,3.1810413929633796e-06,-5.923821299802512e-05
295,-2,0,2.178357681259513e-05,-5.986809264868498e-05
402,2,1,4.991867172066122e-06,-6.109403329901397e-05
406,1,2,7.447903044521809e-06,-6.300566019490361e-05
78,0,-2,4.275119863450527e-06,-6.378383841365576e-05
146,3,-1,1.3984856195747852e-05,-6.445316830649972e-05
354,-27,-1,5.1331386202946305e-05,-6.816710811108351e-05
