pair,base_mse,best_mse,improve,dx,dy,qx,qy
84,0.001098783453926444,0.0010695720557123423,2.921139821410179e-05,-0.3,0.0,-3,0
562,0.00025426072534173727,0.00022539333440363407,2.88673909381032e-05,0.0,-0.1,0,-1
10,0.00023056045756675303,0.000201863469555974,2.8696988010779023e-05,0.3,-0.2,3,-2
186,0.0009897612035274506,0.0009612200665287673,2.8541136998683214e-05,0.2,0.2,2,2
564,9.743248665472493e-05,6.903304165462032e-05,2.8399445000104606e-05,0.4,-0.1,4,-1
306,0.0001866323727881536,0.0001583526172908023,2.827975549735129e-05,0.5,0.0,5,0
163,0.0008457561489194632,0.0008175641996785998,2.8191949240863323e-05,-0.3,0.1,-3,1
325,0.00016007143130991608,0.00013188456068746746,2.8186870622448623e-05,0.4,0.2,4,2
318,0.00037954372237436473,0.0003516489523462951,2.7894770028069615e-05,0.3,-0.1,3,-1
385,0.0006083553889766335,0.000580556399654597,2.7798989322036505e-05,0.2,0.1,2,1
369,0.0003545936197042465,0.00032709387596696615,2.749974373728037e-05,0.2,0.1,2,1
6,0.00011423167597968131,8.692704432178289e-05,2.7304631657898426e-05,0.1,0.1,1,1
203,0.001273276167921722,0.001246138708665967,2.7137459255754948e-05,-0.3,0.5,-3,5
82,0.00048737291945144534,0.00046097609447315335,2.639682497829199e-05,1.5,-0.5,15,-5
201,0.0008772361325100064,0.0008508406463079154,2.639548620209098e-05,0.0,-0.1,0,-1
183,0.00115318619646132,0.0011268546804785728,2.6331515982747078e-05,0.2,-0.2,2,-2
569,9.550211689202115e-05,6.917840801179409e-05,2.632370888022706e-05,-0.2,0.2,-2,2
273,0.0002574132231529802,0.00023122299171518534,2.6190231437794864e-05,-0.1,-0.2,-1,-2
281,0.0002861426619347185,0.0002602364111226052,2.5906250812113285e-05,0.1,0.1,1,1
130,0.0025274152867496014,0.002501582959666848,2.583232708275318e-05,-0.1,0.1,-1,1
229,6.703871622448787e-05,4.134277332923375e-05,2.569594289525412e-05,0.2,-0.1,2,-1
66,0.0009162493515759706,0.0008905893191695213,2.5660032406449318e-05,-0.2,-0.2,-2,-2
529,0.0003986494557466358,0.0003730151802301407,2.563427551649511e-05,-1.0,0.0,-10,0
583,8.903015259420499e-05,6.355946970870718e-05,2.547068288549781e-05,1.2,0.1,12,1
72,0.0004990450106561184,0.0004745875485241413,2.445746213197708e-05,-0.3,0.0,-3,0
575,3.11528128804639e-05,6.905908776388969e-06,2.424690410407493e-05,0.4,-0.1,4,-1
321,0.00033329203142784536,0.0003092274710070342,2.4064560420811176e-05,0.1,-0.2,1,-2
216,0.0004583658592309803,0.0004343045875430107,2.4061271687969565e-05,-0.1,0.0,-1,0
266,0.00010421950719319284,8.025731949601322e-05,2.3962187697179615e-05,-0.5,0.0,-5,0
503,0.000364744191756472,0.00034093501744791865,2.3809174308553338e-05,-1.0,0.0,-10,0
226,0.0001539714285172522,0.00013017927994951606,2.379214856773615e-05,0.4,0.2,4,2
121,0.0015355607029050589,0.0015119429444894195,2.36177584156394e-05,0.1,0.1,1,1
412,0.00042299932101741433,0.00039946846663951874,2.3530854377895594e-05,0.2,0.0,2,0
540,0.0003767606685869396,0.0003532581031322479,2.350256545469165e-05,0.6,0.5,6,5
445,0.000787752796895802,0.0007642509299330413,2.3501866962760687e-05,0.3,-0.1,3,-1
25,5.181601591175422e-05,2.900622712331824e-05,2.280978878843598e-05,2.5,0.0,25,0
175,0.0008161658188328147,0.0007934790337458253,2.2686785086989403e-05,-0.2,0.0,-2,0
195,0.0009639720665290952,0.0009413090883754194,2.2662978153675795e-05,0.3,-0.7,3,-7
497,0.0008257849840447307,0.0008032956393435597,2.248934470117092e-05,-0.4,-0.1,-4,-1
108,0.0022011850960552692,0.0021787146106362343,2.2470485419034958e-05,0.0,-0.1,0,-1
151,0.0010302719892933965,0.0010079870698973536,2.2284919396042824e-05,0.0,-0.2,0,-2
447,0.00041921547381207347,0.0003973245620727539,2.1890911739319563e-05,-0.9,0.0,-9,0
543,0.0005319162155501544,0.0005102641298435628,2.1652085706591606e-05,-0.4,0.2,-4,2
145,0.0007136286585591733,0.0006919977022334933,2.1630956325680017e-05,-0.3,-0.3,-3,-3
174,0.000656044518109411,0.0006350732874125242,2.0971230696886778e-05,-0.4,0.2,-4,2
387,0.0003691217571031302,0.0003482441825326532,2.087757457047701e-05,0.0,0.2,0,2
487,0.00046258277143351734,0.00044171730405651033,2.0865467377007008e-05,-0.1,0.1,-1,1
437,0.00047566485591232777,0.00045496568782255054,2.069916808977723e-05,0.6,-0.1,6,-1
589,4.62588868685998e-05,2.5636973077780567e-05,2.0621913790819235e-05,0.1,0.1,1,1
493,0.00024038359697442502,0.00021984867635183036,2.0534920622594655e-05,0.3,0.2,3,2
299,0.0002730505948420614,0.0002529923804104328,2.0058214431628585e-05,-0.1,-0.1,-1,-1
338,0.0002429590094834566,0.00022373383399099112,1.9225175492465496e-05,0.3,0.0,3,0
30,2.6276347853126936e-05,7.053767149045598e-06,1.9222580704081338e-05,0.2,-0.1,2,-1
294,0.0005751524004153907,0.0005559602286666632,1.919217174872756e-05,0.5,0.0,5,0
140,0.0004549739824142307,0.000436158588854596,1.8815393559634686e-05,0.1,-0.1,1,-1
560,0.00016113411402329803,0.00014246227510739118,1.8671838915906847e-05,0.0,0.2,0,2
